combination_id	disease_id	combination_name_ko	metric_ids	external_components	intended_use_ko	evidence_tier	package_readiness	decision_rule_ko	limitations_ko	reference_ids
C011	colorectal_pni_prediction	CRC texture-radiomics PNI prediction panel	spatial.texture_contrast;spatial.texture_homogeneity;spatial.texture_entropy;spatial.nuclear_density;evaluation.roc_auc;inference.percentile_bootstrap_ci	CRC-specific imaging or WSI model;external validation cohort	CRC PNI 사전예측 또는 후보선별 연구	systematic_review_meta_analysis	research_only	modality별 모델을 별도로 학습하고 환자 단위 외부 AUROC와 calibration을 평가한다	현재 H&E feature와 published CT/MRI radiomics를 동일시할 수 없다	R009
C012	pancreatic_pni	PDAC neural-invasion morphology-geometry transfer	morphology.category_proportion;contour.nerve_area;contour.nerve_diameter;contour.encasement_fraction;contour.contact_length;contour.distance_gradient	PDAC-specific pathologist review;nerve-plexus context	PDAC neural invasion 검출·정량 연구	systematic_review_meta_analysis	literature_supported_unvalidated_transfer	암종별 annotation protocol을 새로 잠그고 nerve plexus 위치와 interface extent를 함께 기록한다	전립선 후보점수와 NMS를 재사용하면 안 된다	R013;R019
C013	head_neck_squamous_cell_carcinoma	두경부 PNI extent panel	morphology.category_proportion;contour.nerve_diameter;contour.encasement_fraction;contour.contact_length;contour.distance_gradient	anatomic subsite;HPV status;intratumoral versus extratumoral PNI	HNSCC PNI extent와 예후 연구	systematic_review_meta_analysis	literature_supported_unvalidated_transfer	subsite·HPV·PNI 위치를 층화하고 presence와 연속 extent를 분리한다	두경부는 site 이질성이 크고 현재 package 모델은 검증되지 않았다	R010;R019
C014	general_histopathology	범용 형태-embedding discovery panel	spatial.nuclear_density;spatial.texture_contrast;spatial.texture_homogeneity;spatial.texture_entropy;image.lumen_area;image.lumen_solidity;evaluation.cosine_similarity;evaluation.embedding_outlier_score	new disease-specific labels;external cohort;site metadata	새 질환의 디지털 병리 feature discovery	methodological_only	research_only	질병별 ground truth와 환자 분리 학습을 사용하고 외부 cohort에서 discrimination·calibration·site stability를 평가한다	범용 특징 조합만으로 특정 질병을 진단할 수 없다	R004;R020
C015	prostate_pni	Serial-section H&E-AMACR-HMWCK spatial profile	spatial.global_tissue_dice;spatial.tumor_mask_dice;spatial.local_nuclear_ncc;spatial.amacr_positive_fraction;spatial.amacr_chromogen_mean;spatial.hmwck_positive_fraction;spatial.nuclear_density;spatial.texture_entropy;spatial.paired_difference;spatial.log2_ratio	pathologist-approved nerve contour;manual registration QC;calibrated stain vectors	전립선 PNI interface의 다중염색 공간 phenotype 연구	project_exploratory	deferred_until_contours	registration QC를 통과하고 contour가 승인된 경우에만 near-distant paired effect를 계산한다	현재 chromogen proxy와 자동 registration은 임상 assay가 아니며 pilot은 affirmative enrichment를 확립하지 못했다	R022
C016	oral_squamous_cell_carcinoma	구강암 PNI proximity-extent panel	morphology.category_proportion;contour.nerve_diameter;contour.encasement_fraction;contour.contact_length;contour.distance_gradient	OSCC-specific pathologist review;anatomic subsite;resection margin status	구강 편평상피암 PNI와 tumor-nerve proximity 연구	systematic_review_meta_analysis	literature_supported_unvalidated_transfer	고전 PNI presence와 PNI가 아닌 tumor-nerve proximity를 분리하고 연속 distance와 extent를 함께 기록한다	근접 threshold는 단일 연구에서 제안된 연구 특징이며 독립 임상 cutoff가 아니다	R011;R019
C017	adenoid_cystic_carcinoma	선양낭성암 PNI extent panel	morphology.category_proportion;contour.nerve_diameter;contour.encasement_fraction;contour.contact_length;contour.distance_gradient	salivary-gland pathologist review;anatomic nerve location;resection margin status	선양낭성암 PNI extent와 예후 연구	systematic_review_meta_analysis	literature_supported_unvalidated_transfer	PNI presence와 nerve caliber 및 interface extent를 분리 기록하고 salivary-gland cohort에서 재현성을 검증한다	신경친화성 질환이라는 사실이 전립선 schema의 전이 성능을 보장하지 않는다	R012
C018	gastric_pni	위암 PNI morphology-interface panel	morphology.category_proportion;contour.encasement_fraction;contour.contact_length;contour.distance_gradient	gastric-cancer pathologist review;pathologic stage;resection margin status	위선암 PNI와 interface extent의 예후 연구	systematic_review_meta_analysis	literature_supported_unvalidated_transfer	병기와 절제연을 포함한 임상병리 공변량과 함께 PNI presence 및 geometry의 증분 정보를 평가한다	PNI 관련 예후 문헌만으로 독립 예후성이나 진단 성능을 가정할 수 없다	R014
C019	cholangiocarcinoma_pni	담관암 PNI subtype-extent panel	morphology.category_proportion;contour.nerve_diameter;contour.encasement_fraction;contour.contact_length;contour.distance_gradient	cholangiocarcinoma-specific pathologist review;anatomic subtype;pathologic stage	담관암 PNI extent와 예후 연구	systematic_review_meta_analysis	literature_supported_unvalidated_transfer	intrahepatic 및 기타 해부학적 subtype을 분리하고 PNI presence와 연속 extent를 층화 분석한다	prevalence 이질성이 크므로 pooled cutoff나 전립선 모델을 직접 적용할 수 없다	R015
C020	cutaneous_squamous_cell_carcinoma_pni	피부 SCC PNI risk-feature panel	morphology.category_proportion;contour.nerve_diameter;contour.contact_length;contour.distance_gradient	dermatopathologist review;clinical versus incidental PNI;anatomic site;nerve caliber	피부 편평상피암 PNI 고위험 특징 연구	systematic_review_meta_analysis	literature_supported_unvalidated_transfer	clinical PNI와 incidental microscopic PNI를 구분하고 nerve caliber 및 위치와 함께 결과를 분석한다	예후 위험 연관성이 현재 패키지의 검출 정확도나 치료결정 유용성을 입증하지 않는다	R016
