metric_id	domain	status	name_ko	name_en	analysis_unit	null_or_range	formula	interpretation	source_paths
pni.subject_cluster_bootstrap_ci	pni_audit	active	대상자 군집 bootstrap 구간	Subject-cluster bootstrap interval	selected audit sample	metric-specific	percentile interval after resampling subjects with all their slides/candidates	선택 audit 내부 표본변동만 반영하며 선택설계를 교정하지 않는다	projects/precise_pni_candidate_triage/code/frozen_score_audit/audit_precise_pni_frozen_scores.py
pni.bootstrap_undefined_fraction	pni_audit	audit	정의불가 bootstrap 비율	Undefined bootstrap fraction	metric and replicate set	[0,1]	undefined replicate count / requested replicate count	단일 outcome class 등 실패 replicate를 버리지 않고 보고한다	projects/precise_pni_candidate_triage/code/frozen_score_audit/audit_precise_pni_frozen_scores.py;resources/data/shared/opendataset/PRECISE/pni_frozen_score_audit/cluster_bootstrap_replicates.csv
morphology.form_completeness	morphology	active	양식 완결 비율	Form completeness	selected morphology focus	[0,1]	forms with every required response and reviewer ID / 14	불확실 응답은 값으로 보존하되 실제 누락 여부를 측정한다	projects/precise_pni_candidate_triage/code/morphology_rereview/build_precise_pni_morphology_review.py;resources/data/shared/opendataset/PRECISE/pni_morphology_rereview/locked/morphology_summary.csv
morphology.evaluable_pni_status	morphology	active	평가 가능한 PNI 상태 비율	Evaluable PNI-status proportion	selected morphology focus	[0,1]	definite/probable/absent PNI status count / 14	uncertain과 not_evaluable을 음성으로 포함하지 않는다	projects/precise_pni_candidate_triage/code/morphology_rereview/build_precise_pni_morphology_review.py
morphology.strict_core_evaluability	morphology	active	엄격 핵심 형태 평가가능 비율	Strict all-core morphology evaluability	selected morphology focus	[0,1]	adequate and internally consistent foci with no uncertain/not-evaluable core field / 14	승인 설계의 primary endpoint에 해당한다	projects/precise_pni_candidate_triage/code/morphology_rereview/build_precise_pni_morphology_review.py;projects/precise_pni_candidate_triage/docs/designs/2026-08-06-precise-pni-morphology-rereview-design.md
morphology.category_proportion	morphology	active	형태 범주별 비율	Morphology category proportion	selected morphology focus	[0,1]	count in structured category / 14 selected foci	선택된 14건의 기술통계이며 PRECISE 형태 분포 추정이 아니다	projects/precise_pni_candidate_triage/code/morphology_rereview/build_precise_pni_morphology_review.py
morphology.transition_count	morphology	active	이전-재판독 전이 수	Previous-to-locked transition count	selected morphology focus	non-negative count	count for each previous-label to locked-label cell	동일 reviewer 반복일 수 있어 interobserver reliability가 아니다	projects/precise_pni_candidate_triage/code/morphology_rereview/build_precise_pni_morphology_review.py;resources/data/shared/opendataset/PRECISE/pni_morphology_rereview/locked/morphology_transition_summary.csv
morphology.raw_concordance	morphology	deferred	원시 재판독 일치율	Raw rereview concordance	selected morphology focus	[0,1]	exact matching locked labels / 14	승인 설계에는 명시됐으나 현재 잠금 산출물은 transition count를 중심으로 보고한다	projects/precise_pni_candidate_triage/docs/designs/2026-08-06-precise-pni-morphology-rereview-design.md
spatial.global_tissue_dice	spatial_pilot	exploratory	전체 조직 Dice	Global tissue-mask Dice	registered serial-section pair	[0,1]	2*intersection/(mask_a+mask_b)	H&E-IHC 전역 registration QC overlap	resources/data/shared/opendataset/PRECISE/pni_spatial_pilot/scripts/run_spatial_pilot.py;resources/data/shared/opendataset/PRECISE/pni_spatial_pilot/registration_qc.csv
spatial.tumor_mask_dice	spatial_pilot	exploratory	종양 마스크 Dice	Tumor-mask Dice	registered local field	[0,1]	2*intersection/(tumor_mask_a+tumor_mask_b)	국소 registration QC이며 분할 정확도 검증이 아니다	resources/data/shared/opendataset/PRECISE/pni_spatial_pilot/scripts/run_spatial_pilot.py
spatial.landmark_residual	spatial_pilot	exploratory	landmark 잔차 중앙값	Median landmark residual	registered serial-section pair	>=0 thumbnail pixels	median boundary correspondence displacement after registration	registration 변형의 잔차 척도	resources/data/shared/opendataset/PRECISE/pni_spatial_pilot/scripts/run_spatial_pilot.py
spatial.local_nuclear_ncc	spatial_pilot	exploratory	국소 핵 정규화 상관	Local nuclear normalized cross-correlation	registered local field	[-1,1]	Pearson-like normalized cross-correlation before/after warp	registration 전후 구조 정렬 QC	resources/data/shared/opendataset/PRECISE/pni_spatial_pilot/scripts/run_spatial_pilot.py
spatial.paired_difference	spatial_pilot	exploratory	근거리-원거리 쌍 차이	Near-minus-distant paired difference	focus/patient	metric-specific	near value - distant value	같은 focus 내 0-25um와 >=200um의 기술적 비교	resources/data/shared/opendataset/PRECISE/pni_spatial_pilot/scripts/run_spatial_pilot.py
spatial.log2_ratio	spatial_pilot	exploratory	근거리/원거리 log2 비율	Stabilized near-to-distant log2 ratio	focus/patient	real	log2((near+1e-6)/(distant+1e-6))	0 값 안정화를 위한 고정 pseudocount를 사용한 탐색 지표	resources/data/shared/opendataset/PRECISE/pni_spatial_pilot/scripts/run_spatial_pilot.py
spatial.median_paired_difference	spatial_pilot	exploratory	환자별 쌍 차이 중앙값	Median paired difference	selected patient set	metric-specific	median of within-focus near-minus-distant differences	작은 선택 pilot의 기술적 중심값	resources/data/shared/opendataset/PRECISE/pni_spatial_pilot/scripts/finalize_outputs.py
spatial.positive_patient_fraction	spatial_pilot	exploratory	양의 방향 환자 분율	Positive-patient fraction	selected patient set	[0,1]	patients with paired difference>0 / selected patients	효과 방향의 일관성을 기술하며 유병률이 아니다	resources/data/shared/opendataset/PRECISE/pni_spatial_pilot/scripts/finalize_outputs.py
spatial.embedding_l2_norm	spatial_pilot	audit	임베딩 L2 norm	Embedding L2 norm	focus embedding	approximately 1 for normalized vectors	sqrt(sum embedding_component^2)	CONCH embedding 정규화 QC	resources/data/shared/opendataset/PRECISE/pni_spatial_pilot/scripts/extract_conch_embeddings.py;resources/data/shared/opendataset/PRECISE/pni_spatial_pilot/conch_focus_embeddings.csv
evaluation.spearman_rho	model_evaluation	active	Spearman 순위상관	Spearman rank correlation	usually patient; sometimes slide	0 null; [-1,1]	Pearson correlation of average ranks	연속·서열 target의 단조 연관성; 분석 단위를 반드시 함께 명시	resources/projects/prostate_biomarker_validation/model_workspace/pilot_statistical_corrections.py;projects/prostate_biomarker_validation/paper/endpoint_hierarchy.csv
evaluation.roc_auc	model_evaluation	active	ROC 곡선 아래 면적	Area under the ROC curve	usually patient; sometimes slide	0.5 chance; [0,1]	P(score_positive>score_negative)+0.5*P(tie)	이진 target 순위 구별력; cohort와 분석 단위를 함께 보고	resources/projects/prostate_biomarker_validation/model_workspace/pilot_statistical_corrections.py;projects/prostate_biomarker_validation/paper/endpoint_hierarchy.csv
evaluation.r_squared	model_evaluation	active	결정계수	Coefficient of determination R2	patient or slide	0 no improvement; <=1	1-sum squared errors/sum squared deviations	임상모형과 결합모형의 연속 target 설명력 비교	resources/projects/prostate_biomarker_validation/model_workspace/pilot_confounder_audit.py;resources/projects/prostate_biomarker_validation/model_workspace/confounder_nested_summary.csv
evaluation.quadratic_weighted_kappa	model_evaluation	exploratory	이차가중 Cohen kappa	Quadratic weighted kappa	ordinal grade observation	0 chance agreement; [-1,1]	chance-corrected agreement with squared category-distance weights	연속 예측을 고정 bin으로 변환한 Gleason/ISUP 일치도 pilot	resources/projects/prostate_biomarker_validation/model_workspace/pilot_qwk_comparison.py
evaluation.raw_agreement	model_evaluation	active	원시 일치율	Raw categorical agreement	paired evaluable observations	[0,1]	exact matches / paired observations	endpoint 또는 라벨 간 단순 일치율	resources/projects/prostate_biomarker_validation/model_workspace/build_tcga_cdr_pfi_evidence.py;resources/projects/prostate_biomarker_validation/model_workspace/tcga_prad_label_benchmark_summary.csv
evaluation.cohen_kappa	model_evaluation	active	Cohen kappa	Cohen kappa	paired evaluable observations	0 chance agreement; [-1,1]	(observed agreement-expected agreement)/(1-expected agreement)	endpoint event label의 우연 보정 일치도	resources/projects/prostate_biomarker_validation/model_workspace/build_tcga_cdr_pfi_evidence.py;resources/projects/prostate_biomarker_validation/model_workspace/pfi_endpoint_concordance.csv
evaluation.task_accuracy	model_evaluation	exploratory	VLM task 정확도	VLM task accuracy	parsed benchmark item	[0,1]	correct parsed responses / parsed responses	소규모 forced-pairwise 또는 방향 판정 benchmark 지표	resources/projects/prostate_biomarker_validation/model_workspace/pilot_vlm_benchmark_aggregate.py
evaluation.hallucination_rate	model_evaluation	exploratory	환각 응답률	Hallucination rate	benchmark item	[0,1]	hallucinatory parsed responses / evaluable responses	소규모 VLM 반응 특성 평가이며 병리 진단 정확도가 아니다	resources/projects/prostate_biomarker_validation/model_workspace/pilot_vlm_benchmark_aggregate.py
evaluation.position_bias_rate	model_evaluation	exploratory	위치 편향률	Position-bias rate	paired benchmark item	[0,1]	responses choosing a fixed display side / parsed responses	좌우 순서를 바꾼 pairwise benchmark의 표시 위치 편향	resources/projects/prostate_biomarker_validation/model_workspace/pilot_vlm_benchmark_aggregate.py
survival.harrell_c_index	survival	active	Harrell 일치지수	Harrell concordance index	patient	0.5 null; [0,1]	concordant comparable survival pairs with tie credit / comparable pairs	정확한 endpoint와 risk 방향을 함께 명시하는 생존 순위 지표	resources/projects/prostate_biomarker_validation/model_workspace/build_marker7_survival_paired_analysis.py;resources/projects/prostate_biomarker_validation/model_workspace/build_tcga_cdr_pfi_evidence.py
survival.time_dependent_auc	survival	active	시간의존 AUC	Cumulative/dynamic time-dependent AUC	patient at time horizon	0.5 null; [0,1]	IPCW cumulative/dynamic discrimination at time t	검열을 반영한 시점별 구별력	resources/projects/prostate_biomarker_validation/model_workspace/build_marker7_survival_paired_analysis.py;resources/projects/prostate_biomarker_validation/model_workspace/marker7_td_auc_curve.csv
survival.mean_auc_1_to_5y	survival	active	1-5년 평균 시간의존 AUC	Mean time-dependent AUC from 1 to 5 years	patient over evaluation grid	0.5 null; [0,1]	survival-weighted mean cumulative/dynamic AUC over 1-5y	고정 시점 grid 전반의 시간의존 구별력 요약	resources/projects/prostate_biomarker_validation/model_workspace/build_marker7_survival_paired_analysis.py
survival.integrated_brier_score	survival	active	통합 Brier 점수	Integrated Brier score	patient over evaluation grid	0 ideal; >=0	integral of IPCW squared survival-probability error over time	낮을수록 좋은 검열 보정 예측오차	resources/projects/prostate_biomarker_validation/model_workspace/build_marker7_survival_paired_analysis.py
survival.predicted_event_probability	survival	active	평균 예측 사건확률	Mean predicted event probability	patient risk group and horizon	[0,1]	mean(1-predicted survival probability at horizon)	3년·5년 calibration의 모델 예측값	resources/projects/prostate_biomarker_validation/model_workspace/build_marker7_survival_paired_analysis.py;resources/projects/prostate_biomarker_validation/model_workspace/marker7_calibration_3y_5y.csv
survival.km_observed_event_probability	survival	active	KM 관찰 사건확률	Kaplan-Meier observed event probability	patient risk group and horizon	[0,1]	1-Kaplan-Meier survival estimate at horizon	검열을 반영한 risk group별 관찰 사건확률	resources/projects/prostate_biomarker_validation/model_workspace/build_marker7_survival_paired_analysis.py;resources/projects/prostate_biomarker_validation/model_workspace/marker7_calibration_3y_5y.csv
survival.hazard_ratio	survival	exploratory	위험비	Hazard ratio	patient	1 null; >0	exp(Cox regression coefficient)	marker 7 Cox model의 조건부 상대위험; 인과효과가 아니다	resources/projects/prostate_biomarker_validation/model_workspace/pilot_marker7_confounder_audit.py;resources/projects/prostate_biomarker_validation/model_workspace/marker7_extended_confounder_summary.csv
survival.likelihood_ratio_chi2	survival	exploratory	우도비 카이제곱	Likelihood-ratio chi-square	model comparison	0 null; >=0	2*(combined Cox log-likelihood-clinical Cox log-likelihood)	중첩 Cox 모형의 적합도 차이 탐색	resources/projects/prostate_biomarker_validation/model_workspace/pilot_marker7_confounder_audit.py;resources/projects/prostate_biomarker_validation/model_workspace/marker7_extended_confounder_summary.csv
survival.landmark_auc	survival	exploratory	landmark AUC	Landmark-horizon AUROC	patients classifiable at horizon	0.5 null; [0,1]	AUROC for event-by-horizon after excluding censoring before horizon	endpoint별 표본수가 달라지는 3년·5년 민감도 분석	resources/projects/prostate_biomarker_validation/model_workspace/pilot_tcga_prad_label_benchmark.py;projects/prostate_biomarker_validation/paper/endpoint_hierarchy.csv
comparison.delta_metric	inference	active	짝지은 성능 증분	Paired metric difference	matched patient/bootstrap/configuration	0 null	metric_B-metric_A with direction normalized when lower is better	동일 환자·동일 bootstrap draw 또는 seed-matched 설정의 모형 대비	resources/projects/prostate_biomarker_validation/model_workspace/build_marker7_survival_paired_analysis.py;resources/projects/prostate_biomarker_validation/model_workspace/confounder_nested_summary.csv
inference.percentile_bootstrap_ci	inference	active	백분위 bootstrap 구간	Percentile bootstrap interval	patient-clustered or paired bootstrap	metric-specific	quantile(valid replicates,[0.025,0.975])	cluster 또는 paired 구조와 정의불가 replicate 수를 함께 보고	resources/projects/prostate_biomarker_validation/model_workspace/pilot_statistical_corrections.py;resources/projects/prostate_biomarker_validation/model_workspace/build_marker7_survival_paired_analysis.py
inference.seed_t_interval	inference	audit	sampling-seed Student-t 구간	Sampling-seed Student-t interval	correlated seed settings	metric-specific	mean +/- t(df=n_seed-1)*sample_sd/sqrt(n_seed)	환자 불확실성 구간이나 독립 validation으로 해석하지 않는 기술적 안정성 지표	resources/projects/prostate_biomarker_validation/model_workspace/aggregate_stability_grid.py;resources/projects/prostate_biomarker_validation/model_workspace/stability_summary.csv
inference.permutation_p_value	inference	active	순열 p값	Permutation P value	prespecified test	[0,1]	(1+null statistics at least as extreme)/(1+valid permutations)	귀무분포를 재적합 또는 고정예측 permutation으로 구성하며 방식 명시 필요	resources/projects/prostate_biomarker_validation/model_workspace/pilot_confounder_refit_permutation.py;resources/projects/prostate_biomarker_validation/model_workspace/confounder_refit_permutation_final2000_summary.csv
inference.bh_fdr_q_value	inference	active	Benjamini-Hochberg FDR q값	Benjamini-Hochberg adjusted q value	17-test family	[0,1]	monotone min_{j>=i}(m*p_(j)/j) mapped to original order	동결된 17개 검정 family의 다중비교 보정	resources/projects/prostate_biomarker_validation/model_workspace/pilot_statistical_corrections.py;resources/projects/prostate_biomarker_validation/model_workspace/revision_global_fdr_summary.csv
inference.minimum_detectable_auroc	inference	active	80% power 최소검출 AUROC	Minimum detectable AUROC at target power	positive/negative patient counts	[0.5,1]	root of normal-approximation AUROC power equation at alpha=0.05 and power=0.80	SPOP 소표본의 검출 한계를 설명하며 관찰 효과가 아니다	resources/projects/prostate_biomarker_validation/model_workspace/build_ar_spop_evidence_closure.py;resources/projects/prostate_biomarker_validation/model_workspace/spop_power_summary.csv
stability.sample_sd	inference	audit	seed 간 표본 표준편차	Across-seed sample standard deviation	correlated seed settings	>=0	sqrt(sum(x-mean)^2/(n_seed-1))	동일 자료의 sampling 설정 민감도이며 환자 표본오차가 아니다	resources/projects/prostate_biomarker_validation/model_workspace/aggregate_stability_grid.py;resources/projects/prostate_biomarker_validation/model_workspace/stability_summary.csv
stability.chance_or_worse_rate	inference	audit	chance 이하 설정 비율	Chance-or-worse setting rate	correlated grid cells	[0,1]	grid cells at or worse than metric null / all cells	설정 민감도 요약이며 독립 실험 성공률이 아니다	resources/projects/prostate_biomarker_validation/model_workspace/aggregate_stability_grid.py;resources/projects/prostate_biomarker_validation/model_workspace/stability_summary.csv
stability.null_crossing_count	inference	audit	귀무값 교차 수	Null-crossing contrast count	seed-matched setting contrasts	non-negative count	paired contrasts whose endpoints lie on opposite sides of metric null	encoder/scale/tiles 변화에 따른 해석 방향 변화를 기술	resources/projects/prostate_biomarker_validation/model_workspace/aggregate_stability_grid.py;resources/projects/prostate_biomarker_validation/model_workspace/stability_contrast_summary.csv
quality.missing_fraction	reproducibility	audit	결측 분율	Missingness fraction	declared analysis frame	[0,1]	missing observations / total eligible observations	결측을 음성이나 사건 없음으로 바꾸지 않고 보고	resources/projects/prostate_biomarker_validation/model_workspace/pilot_marker7_clinical_hierarchy.py;resources/projects/prostate_biomarker_validation/model_workspace/marker7_clinical_hierarchy_missingness.csv
quality.bootstrap_valid_count	reproducibility	audit	유효 bootstrap 수	Valid bootstrap replicate count	metric and requested bootstrap set	non-negative count	count of finite defined replicate estimates	요청 수·정의불가 수와 합계가 일치해야 한다	projects/precise_pni_candidate_triage/code/frozen_score_audit/audit_precise_pni_frozen_scores.py;resources/projects/prostate_biomarker_validation/model_workspace/build_marker7_survival_paired_analysis.py
quality.hash_reconciliation	reproducibility	audit	입출력 해시 일치	Input/output hash reconciliation	artifact	boolean or SHA256 equality	SHA256_before == SHA256_after for immutable inputs	분석 지표가 아니라 재현성·불변 입력 보증 지표	resources/projects/prostate_biomarker_validation/model_workspace/build_ar_spop_evidence_closure.py;resources/projects/prostate_biomarker_validation/model_workspace/build_marker7_survival_paired_analysis.py
evaluation.cosine_similarity	model_evaluation	exploratory	임베딩 cosine 유사도	Embedding cosine similarity	image or patch pair	[-1,1]	normalized embedding dot product	CLIP/CONCH 영상·텍스트 또는 exemplar 유사도	resources/projects/prostate_biomarker_validation/model_workspace/pilot_clip_similarity_feature.py;resources/projects/prostate_biomarker_validation/model_workspace/pilot_conch_similarity_feature.py
evaluation.embedding_outlier_score	model_evaluation	exploratory	임베딩 이상치 점수	Embedding outlier score	patch	[0,2]	1-cosine(patch embedding,whole-slide mean embedding)	slide 평균 표현에서 떨어진 정도이며 병리 이상 확률이 아니다	resources/projects/prostate_biomarker_validation/model_workspace/pilot_clip_patch_outlier.py;resources/projects/prostate_biomarker_validation/model_workspace/pilot_clip_grid_outlier.py
evaluation.roc_curve_coordinates	model_evaluation	audit	ROC 곡선 좌표	ROC curve coordinates	binary evaluation frame	FPR/TPR in [0,1]	threshold-wise false-positive and true-positive rates	저장된 ROC figure source를 구성하는 threshold curve	resources/projects/prostate_biomarker_validation/model_workspace/pilot_marker7_survival_curves.py;paper/figures/fig4_roc_curves.py
evaluation.confusion_matrix_counts	model_evaluation	audit	혼동행렬 빈도	Confusion-matrix counts	paired categorical observations	non-negative counts	counts for every observed-reference label pair	endpoint label concordance의 구성 빈도	resources/projects/prostate_biomarker_validation/model_workspace/pilot_tcga_prad_label_benchmark.py;resources/projects/prostate_biomarker_validation/model_workspace/pfi_endpoint_concordance.csv
survival.comparable_pair_counts	survival	audit	생존 비교가능 pair 수	Survival comparable-pair counts	patient pairs	non-negative counts	concordant+discordant+tied-risk+tied-time pair accounting	C-index 분모와 tie 처리를 감사하는 구성 지표	resources/projects/prostate_biomarker_validation/model_workspace/build_tcga_cdr_pfi_evidence.py;resources/projects/prostate_biomarker_validation/model_workspace/pfi_performance_summary.csv
inference.mann_whitney_u	inference	exploratory	Mann-Whitney U 검정	Mann-Whitney U statistic and P value	two independent score groups	U>=0; p in [0,1]	rank-sum statistic with declared two-sided alternative	초기 binary marker와 similarity pilot의 비모수 군간 비교	resources/projects/prostate_biomarker_validation/model_workspace/pilot_statistical_corrections.py;resources/projects/prostate_biomarker_validation/model_workspace/pilot_tcga_multiassay_concordance.py
inference.one_sample_t_test	inference	exploratory	일표본 t 검정	One-sample Student t statistic and P value	fold or seed estimates	real statistic; p in [0,1]	(mean-null)/(sample_sd/sqrt(n))	초기 fold correlation 요약이며 correlated setting에는 확증적으로 사용하지 않는다	resources/projects/prostate_biomarker_validation/model_workspace/pilot_conch_linear_probe.py
inference.chi_square_tail_p	inference	exploratory	카이제곱 tail p값	Chi-square tail P value	nested model comparison	[0,1]	chi-square survival function at likelihood-ratio statistic and df difference	중첩 임상·영상 모형 적합도 비교의 asymptotic P value	resources/projects/prostate_biomarker_validation/model_workspace/pilot_confounder_audit.py;resources/projects/prostate_biomarker_validation/model_workspace/pilot_marker7_confounder_audit.py
inference.spearman_p_value	inference	active	Spearman 검정 p값	Spearman correlation P value	paired observations	[0,1]	two-sided asymptotic test of rho=0 as returned by scipy.stats.spearmanr	점 추정·표본수·multiplicity rule과 함께 보고	resources/projects/prostate_biomarker_validation/model_workspace/pilot_statistical_corrections.py;resources/projects/prostate_biomarker_validation/model_workspace/statistical_corrections_summary.csv
stability.metric_range	inference	audit	설정별 지표 범위	Across-setting metric range	correlated grid cells	metric-specific	minimum and maximum over declared configurations	설정 민감도의 기술적 폭이며 confidence interval이 아니다	resources/projects/prostate_biomarker_validation/model_workspace/aggregate_stability_grid.py;resources/projects/prostate_biomarker_validation/model_workspace/stability_summary.csv
stability.seed_null_straddle	inference	audit	seed 구간 귀무값 포함 여부	Seed-interval null straddle	correlated seed settings	boolean	Student-t seed interval low<=null<=high	독립 재현성 검정이 아닌 설정 민감도 flag	resources/projects/prostate_biomarker_validation/model_workspace/aggregate_stability_grid.py;resources/projects/prostate_biomarker_validation/model_workspace/stability_summary.csv
descriptive.count	descriptive	active	빈도와 표본수	Count and denominator	declared analysis unit	non-negative integer	number of observations satisfying a declared condition	모든 비율·성능지표와 함께 분석대상 및 사건 수를 추적	projects/prostate_biomarker_validation/paper/endpoint_hierarchy.csv;projects/prostate_biomarker_validation/docs/designs/2026-08-07-scientific-reports-manuscript-redesign-design.md
descriptive.arithmetic_mean	descriptive	active	산술평균	Arithmetic mean	declared analysis frame	real	sum(x)/n	score·설정·영상특징의 기술적 중심값	resources/projects/prostate_biomarker_validation/model_workspace/build_ar_spop_evidence_closure.py;resources/projects/prostate_biomarker_validation/model_workspace/stability_summary.csv
descriptive.median_iqr	descriptive	active	중앙값과 사분위범위	Median and interquartile range	declared analysis frame	metric-specific	q50 with q25 and q75	왜도에 강한 site·follow-up·영상특징 기술통계	resources/projects/prostate_biomarker_validation/model_workspace/build_ar_spop_evidence_closure.py;resources/projects/prostate_biomarker_validation/model_workspace/ar_site_characteristics.csv
descriptive.minimum_maximum	descriptive	active	최솟값과 최댓값	Minimum and maximum	declared analysis frame	metric-specific	min(x) and max(x)	설정·site 분포의 관찰 범위이며 불확실성 구간이 아니다	resources/projects/prostate_biomarker_validation/model_workspace/aggregate_stability_grid.py;resources/projects/prostate_biomarker_validation/model_workspace/stability_summary.csv
